,index,value
0,0,"[-0.17744936545689902, 0.1298216183980306, 0.16367957492669424, -0.3314710060755412, 0.13511351495981216, 0.23439944783846536, -0.03868047706782818, -0.0628353060844044, 0.060500153029958405, -0.038792977730433144, -0.12064328789710999, -0.009915926493704319, 0.11112852642933528, -0.01988573558628559, -0.06271393597126007, -0.11430766681830089, 0.09337541709343593, 0.007509581744670868, 0.011655552933613459, -0.09714636703332265, -0.42611048618952435, -0.4345434804757436, -0.09890739619731903, 0.14512287080287933, -0.11790945877631505, -0.20936592916647592, -0.20775905748208365, 0.3394187291463216, 0.08949649333953857, 0.011587979892889658, -0.05577231074372927, 0.011628570966422558, -0.1485606829325358, -0.17442145446936289, 0.012242875372370085, 0.009310744547595581, -0.11147830386956532, -0.19419955213864645, -0.014809897014250359, 0.09319876072307427, -0.23316122591495514, -0.09440209964911143, 0.08967936038970947, 0.5939420660336813, -0.02346928759167592, -0.31309302647908527, -0.2258241722981135, -0.11312388132015865, 0.007907348878992101, 0.11638216177622478]"
1,1,"[-0.16593566040198007, 0.12798927476008734, 0.1176808550953865, -0.27020754913489026, 0.13127442946036658, 0.20703830073277155, -0.026810149817417066, -0.05617999223371347, 0.07356433384120464, -0.0342610285927852, -0.08931885783871014, -0.0010187154014905293, 0.09760807827115059, 0.004571390959123771, -0.04826034295062224, -0.10337681199113528, 0.07875674776732922, 0.008908355608582497, 0.0009877458214759827, -0.06788712739944458, -0.35265867908795673, -0.33401024838288623, -0.061752681309978165, 0.12690566976865134, -0.08709097281098366, -0.16831568131844202, -0.14877983431021372, 0.2771385808785756, 0.06484840841343005, 0.024276527265707653, -0.04317140579223633, 0.0153431948274374, -0.12077036003271739, -0.14621921132008234, 0.024663135409355164, 0.03384327578047911, -0.08386301373442014, -0.13587850828965506, -0.015332705030838648, 0.032432763216396175, -0.20558920005957285, -0.07693370369573434, 0.06945228825012843, 0.4711488385995229, -0.0073868415007988615, -0.22499908010164896, -0.1780796299378077, -0.09074551736315091, -0.01370151259470731, 0.0922676386932532]"
2,2,"[-0.18832523127396902, 0.1519558976093928, 0.14646947383880615, -0.3053489128748576, 0.15609964728355408, 0.21147348235050836, -0.047403267274300255, -0.04426827281713486, 0.07254198690255483, -0.05009341550370058, -0.10981470594803493, 0.004947093315422535, 0.09107061351339023, 0.014978539819518724, -0.054026104509830475, -0.1140575036406517, 0.09758480886618297, 0.017291390026609104, 0.0047281232352058096, -0.09272703404227893, -0.38547977805137634, -0.39934197068214417, -0.06965903689463933, 0.13642649352550507, -0.11318451166152954, -0.19592202206452689, -0.1831067552169164, 0.3145936926205953, 0.09070596843957901, 0.013710255734622478, -0.03120379646619161, 0.011798648163676262, -0.13586199283599854, -0.14770240088303885, 0.04006608327229818, 0.035758431845655046, -0.10361835112174352, -0.16229920337597528, 0.005327793614317973, 0.0478050255527099, -0.21567562222480774, -0.06930816856523354, 0.08563133329153061, 0.5292497277259827, -0.005826752943297227, -0.2564854125181834, -0.1668087293704351, -0.07512748179336388, -0.012439103176196417, 0.11403307318687439]"
3,3,"[-0.18717058996359506, 0.18112743149201074, 0.15546578417221704, -0.3141009658575058, 0.12203036000331242, 0.2673259178797404, -0.034273888605336346, -0.10224034388860066, 0.11010605966051419, -0.01712076924741268, -0.10548282166322072, 0.003999027889221907, 0.15272483229637146, 0.0028656449479361377, -0.03741677664220333, -0.11963028584917386, 0.11299861346681912, -0.020173188609381516, 0.03155157839258512, -0.08982184901833534, -0.4431985169649124, -0.4010775883992513, -0.12458120286464691, 0.11122460663318634, -0.12528947864969572, -0.1674011250336965, -0.1984031746784846, 0.3062940339247386, 0.08417408416668574, 0.007070001331157982, -0.06979495535294215, 0.039517417550086975, -0.11445093527436256, -0.16382714236776033, 0.07550720125436783, 0.022563422098755836, -0.10982334862152736, -0.2007333586613337, -0.0056724827736616135, 0.03526247354845206, -0.25811486691236496, -0.09104631592830022, 0.10027589152256648, 0.5974307159582773, -0.014781176733473936, -0.23911846429109573, -0.22845596571763357, -0.13675003250439963, -0.009142979669074217, 0.11710584908723831]"
4,4,"[-0.1426543245712916, 0.12757999263703823, 0.14527867051462331, -0.26850606749455136, 0.09460385516285896, 0.1999406764904658, -0.042965739810218416, -0.07410528262456258, 0.08507054268072049, -0.02750140909726421, -0.0813195010026296, 0.016798161280651886, 0.10879031072060268, -0.024122126245250303, -0.05337666099270185, -0.11485158403714497, 0.07410294252137344, -0.008038909077489128, 0.04118974941472212, -0.07825982198119164, -0.34807944546143216, -0.3240393027663231, -0.08504030915598075, 0.09265240374952555, -0.11479004845023155, -0.13919416815042496, -0.16556296373407045, 0.25785598903894424, 0.07909681275486946, -0.0003584720737611254, -0.0434108047435681, 0.04732940346002579, -0.10274419374763966, -0.13002396499117216, 0.02433215807347248, -0.013944717744986216, -0.08255284031232198, -0.14761611757179102, 0.01098516397178173, 0.03546003314356009, -0.18909351589779058, -0.05196417309343815, 0.07064778978625934, 0.4654900183280309, -0.010430537707482776, -0.21109321216742197, -0.15889762217799822, -0.09952155252297719, 0.0036957713309675455, 0.07592608282963435]"
5,5,"[-0.17624317606290182, 0.15098979820807776, 0.16004625211159387, -0.32169167200724286, 0.12468259781599045, 0.2581185946861903, -0.05081671724716822, -0.09297982603311539, 0.08355879907806714, -0.018073329081137974, -0.10572882741689682, 0.006933804388002803, 0.14335970828930536, -0.017127894485990208, -0.03237922737995783, -0.11831341683864594, 0.10796960194905598, -0.0008148813406781604, 0.018236342817544937, -0.0996712086101373, -0.43590333064397174, -0.4159356156984965, -0.10146049161752065, 0.12503544241189957, -0.1029450719555219, -0.17714216311772665, -0.19512004653612772, 0.3206448604663213, 0.114138662815094, 0.018992144614458084, -0.055760702739159264, 0.04482508357614279, -0.12860901405413946, -0.19144679109255472, 0.03878825716674328, -0.0077341327754159766, -0.13116714606682459, -0.18128372728824615, -0.006583770116170247, 0.06179653418560823, -0.23951372504234314, -0.08673981328805287, 0.10162878533204396, 0.6128710011641184, -0.009396143878499666, -0.3037581692139308, -0.23092295229434967, -0.12417794018983841, 0.0025630403930942216, 0.09084836641947429]"
6,6,"[-0.1717932770649592, 0.14819064239660898, 0.16949288547039032, -0.33059467871983844, 0.16944697002569833, 0.22105974952379862, -0.03677690587937832, -0.05383340657378236, 0.0536631103605032, -0.041912480567892395, -0.1182834655046463, -0.0045879304719467955, 0.120647298792998, -0.0013289631654818852, -0.07263247544566791, -0.1228829100728035, 0.08604081968466441, -0.0022992261995871863, 0.018958677537739277, -0.08415893216927846, -0.43236913283665973, -0.4193757176399231, -0.09661146998405457, 0.1470341682434082, -0.12300561865170796, -0.21417046586672464, -0.2154341588417689, 0.3449111084143321, 0.09450661142667134, 0.007768353447318077, -0.0380249097943306, 0.018040481954813004, -0.1405832419792811, -0.18542290230592093, 0.01665055441359679, 0.016180656229456265, -0.11109660069147746, -0.19795810679594675, -0.002840946583698193, 0.0793790848304828, -0.22960847119490305, -0.08505043387413025, 0.10083987067143123, 0.5877972642580668, -0.01740141841582954, -0.29408025244871777, -0.22474596401055655, -0.1063164621591568, 0.010302971544054648, 0.13575436423222223]"
7,7,"[-0.1996175448099772, 0.16283974051475525, 0.148274227976799, -0.35409364104270935, 0.17275090018908182, 0.2564438730478287, -0.057959241792559624, -0.08203798532485962, 0.040525974705815315, -0.039273809952040516, -0.12441715846459071, 0.012796041710923115, 0.13782076040903726, -0.02371048927307129, -0.029426966095343232, -0.1505664885044098, 0.09291420131921768, 0.01899912751590212, -0.0069808972378571825, -0.07738673935333888, -0.4205680886904399, -0.4216589430967967, -0.10653502245744069, 0.156538059314092, -0.09319383278489113, -0.17802681028842926, -0.20925367871920267, 0.34269629915555316, 0.15591126680374146, 0.03336478273073832, -0.06542838737368584, 0.036147019981096186, -0.13410316904385886, -0.18723146617412567, 0.026044771075248718, -0.018131700111553073, -0.14690217624107996, -0.15983916074037552, -0.004940328134883505, 0.06091572934140762, -0.2396478553613027, -0.11355552573998769, 0.1121803770462672, 0.6107632517814636, 0.0018492598707477252, -0.31099392970403034, -0.20511353264252344, -0.1183408002058665, 0.007128495102127393, 0.1281752809882164]"
8,8,"[-0.21747873723506927, 0.17519462605317435, 0.14571633686621985, -0.38668561975161236, 0.15392806380987167, 0.1961951513464252, -0.010187550447881222, -0.10629505539933841, 0.04564425845940908, -0.054227437203129135, -0.1576570818821589, 0.008133097706983486, 0.12860342611869177, 0.028836998467644055, -0.059048047910133995, -0.16778869926929474, 0.11310291041930516, -0.038772620260715485, 0.003223536225656668, -0.10116259256998698, -0.5155506630738577, -0.4858962893486023, -0.13744601607322693, 0.14110996822516123, -0.11590195695559184, -0.2418310542901357, -0.2961098353068034, 0.35561739404996234, 0.0906610166033109, 0.0372108006849885, -0.07410376891493797, 0.046292726105699934, -0.15743174155553183, -0.17735638717810312, 0.0904524177312851, 0.03646980478273084, -0.1390834947427114, -0.23377191523710886, 0.012763883452862501, 0.07688119883338611, -0.26273082693417865, -0.13327720016241074, 0.11599226792653401, 0.6913016239802042, -0.04269839823246002, -0.2858075598875682, -0.30294883251190186, -0.1678775946299235, -0.02464013934756319, 0.1988676687081655]"
9,9,"[-0.15120023488998413, 0.14451775886118412, 0.13725738786160946, -0.28773899624745053, 0.1120126706858476, 0.21489648769299188, -0.03416373456517855, -0.07688279760380586, 0.08195605470488469, -0.021346557264526684, -0.08840714581310749, 0.010558126358470568, 0.1279085005323092, -0.008670104046662649, -0.04952801981319984, -0.11188807462652524, 0.08254329239328702, -0.015215559086451927, 0.042404752845565476, -0.08247528473536174, -0.38157425075769424, -0.33892812579870224, -0.09275560205181439, 0.09572125319391489, -0.11734322210152943, -0.1491998272637526, -0.17200918247302374, 0.25533900906642276, 0.06604344863444567, -0.0006001427148779234, -0.04764488339424133, 0.04045846996208032, -0.101304371530811, -0.1419019214808941, 0.051484761759638786, 0.011703979379187027, -0.0858339462429285, -0.16760792831579843, 0.013782200267693648, 0.017276976024731994, -0.21550763522585234, -0.06006461816529433, 0.08280040300451219, 0.4839349215229352, -0.020116838316122692, -0.21817780658602715, -0.18372275431950888, -0.11047863277296226, 0.0024454810190945864, 0.08628178512056668]"
